,city,Lat,Lng,temp,hum,pres,cloud,wind,country,date
0,aklavik,68.219916,-135.0077881,50.0,93.0,1012.0,90.0,8.05,CA,1596020360.0
1,punta arenas,-53.1638329,-70.9170683,41.0,75.0,1011.0,40.0,18.34,CL,1596025815.0
2,rikitea,-23.1223034,-134.9691543,72.81,81.0,1021.0,8.0,12.55,PF,1596036920.0
3,ushuaia,-54.8019121,-68.3029511,39.2,87.0,1005.0,40.0,32.21,AR,1596025597.0
4,teguise,29.0720515,-13.5668302,80.6,57.0,1012.0,20.0,25.28,ES,1596003200.0
5,chuy,36.0603092,-95.8561644,77.81,83.0,1013.0,90.0,9.17,US,1596022119.0
6,cap malheureux,-19.986874,57.61274239999999,72.0,77.0,1021.0,16.0,5.01,MU,1595990425.0
7,hermanus,-34.4092004,19.2504436,55.0,87.0,1024.0,0.0,11.74,ZA,1596001108.0
8,pechenga,69.5453378,31.210038,66.2,63.0,1012.0,20.0,16.11,RU,1595978083.0
9,srednekolymsk,67.43730699999999,153.728674,43.57,85.0,1014.0,80.0,5.68,RU,1596038436.0
11,isla mujeres,21.2321799,-86.73409339999999,87.21,70.0,1017.0,40.0,13.87,MX,1596021567.0
12,srivardhan,18.0594018,73.0228173,79.63,86.0,1006.0,100.0,3.76,IN,1595983514.0
13,clyde river,70.47636500000002,-68.60126509999999,46.4,81.0,1012.0,40.0,5.82,CA,1595999059.0
14,port alfred,-33.5864065,26.8851448,59.02,75.0,1020.0,0.0,14.09,ZA,1595999179.0
15,nizhneyansk,71.450058,136.1122279,38.97,87.0,1020.0,100.0,9.24,RU,0.0
16,hambantota,6.1428829,81.12123079999999,80.02,78.0,1009.0,79.0,16.62,LK,1595982600.0
17,karauzyak,43.0174717,60.011507,78.8,31.0,1011.0,8.0,6.93,UZ,1595983661.0
18,barrow,34.0142667,-83.6986568,86.74,62.0,1018.0,40.0,5.82,US,1596019461.0
19,grand river south east,-20.2888094,57.78141199999999,71.8,83.0,1021.0,75.0,10.29,MU,1595990412.0
20,ahipara,-35.1713483,173.1533404,54.79,84.0,1029.0,100.0,9.26,NZ,1596050636.0
21,isangel,-19.54172,169.2803499,73.54,75.0,1013.0,82.0,16.11,VU,1596049967.0
22,ketchikan,55.34222219999999,-131.6461112,60.1,72.0,1016.0,1.0,3.36,US,1596026981.0
23,hilo,19.7241106,-155.0868193,65.46,78.0,1017.0,40.0,3.36,US,1596038120.0
24,upernavik,72.7862882,-56.1375527,43.34,90.0,1014.0,99.0,5.5,GL,0.0
25,jimma,7.673890800000001,36.8357927,59.65,89.0,1016.0,26.0,2.77,ET,1595993102.0
26,vuktyl,63.8461612,57.3083399,54.82,84.0,1011.0,14.0,5.73,RU,1595977910.0
27,vaini,-21.1935,-175.1751534,66.2,88.0,1018.0,75.0,14.99,TO,1596132761.0
28,cidreira,-30.1769388,-50.2089142,52.27,62.0,1027.0,61.0,8.97,BR,1596017294.0
29,bredasdorp,-34.5385222,20.0568771,59.0,72.0,1022.0,0.0,5.82,ZA,1596000930.0
30,jamestown,37.2116383,-76.7752102,85.87,66.0,1016.0,1.0,4.7,US,1596017384.0
31,boa vista,38.743466,-120.7304297,85.62,25.0,1017.0,1.0,5.82,US,1596027725.0
32,ancud,-41.8675003,-73.8276965,46.4,75.0,1018.0,75.0,6.93,CL,1596024416.0
33,baie-saint-paul,47.4424059,-70.50408399999999,74.23,67.0,1009.0,40.0,6.11,CA,1596014208.0
34,mahebourg,-20.4059505,57.7034222,71.6,83.0,1021.0,75.0,10.29,MU,1595990442.0
35,dikson,73.507735,80.53103010000001,49.37,76.0,1018.0,94.0,12.19,RU,0.0
36,kysyl-syr,63.89784700000001,122.762485,46.29,76.0,1018.0,0.0,5.46,RU,1596048725.0
37,kieta,-6.2204747,155.6376301,78.48,76.0,1008.0,29.0,2.59,PG,1596052117.0
38,tuktoyaktuk,69.445358,-133.034181,46.4,87.0,1014.0,90.0,4.7,CA,1596017947.0
39,mount gambier,-37.8284212,140.7803529,41.0,93.0,1025.0,75.0,4.7,AU,1596058731.0
40,baghdad,33.315241,44.3660671,107.6,23.0,999.0,15.0,4.7,IQ,1595988794.0
41,cape town,-33.9248685,18.4240553,58.3,82.0,1023.0,20.0,9.17,ZA,1596001250.0
42,chokurdakh,70.622169,147.916168,43.03,75.0,1016.0,91.0,8.41,RU,1596033123.0
43,uige,-7.173673200000001,15.4068079,73.4,69.0,1014.0,20.0,6.93,AO,1595999455.0
44,cumaribo,4.444922,-69.79807869999999,88.48,59.0,1010.0,5.0,5.23,CO,1596018963.0
45,thompson,36.9953799,-95.622744,76.32,94.0,1013.0,75.0,6.93,US,1596021936.0
46,broken hill,-31.9539135,141.4539396,46.4,42.0,1025.0,0.0,7.94,AU,1596057869.0
47,east london,51.55633,0.0655092,74.03,36.0,1019.0,30.0,9.17,GB,1595996353.0
48,humaita,-7.5169609,-63.0298508,97.16,26.0,1010.0,0.0,5.7,BR,1596018307.0
49,qaanaaq,77.4670434,-69.2284827,40.84,76.0,1016.0,66.0,1.57,GL,0.0
50,albany,42.6525793,-73.7562317,87.1,46.0,1011.0,4.0,1.99,US,1596015850.0
51,taolanaro,-25.0225309,46.9853688,71.6,88.0,1017.0,75.0,11.41,MG,1595993447.0
52,bermeo,43.4188248,-2.7269756,73.71,69.0,1017.0,90.0,3.36,ES,1595998663.0
53,samusu,-14.0056774,-171.4299586,75.0,94.0,1009.0,78.0,8.01,WS,1596131240.0
54,illoqqortoormiut,70.48556909999999,-21.9628757,41.49,75.0,1013.0,11.0,6.08,GL,1595987521.0
55,palabuhanratu,-6.9852341,106.5475399,75.99,83.0,1006.0,26.0,5.88,ID,1596063960.0
56,bluff,37.2844448,-109.5517877,82.4,28.0,1026.0,0.0,3.36,US,1596025243.0
57,hobyo,5.3515922,48.5249751,78.39,78.0,1011.0,17.0,20.42,SO,1595990490.0
58,kapaa,22.0881391,-159.3379818,76.28,83.0,1018.0,90.0,17.22,US,1596038916.0
59,karaul,70.070114,83.23083489999999,52.09,81.0,1015.0,62.0,9.17,RU,1596051245.0
